domain,outlet,bias_outlet,credibility,source
climaterealityproject.org,,left,high,mbfc
cnn.com,,left,mixed,mbfc
cnntimes.online,,left,mixed,mbfc
cnsnews.com,,right,mixed,mbfc
codepink.org,,left,mixed,mbfc
colddeadhands.us,,right,mixed,mbfc
colombiareports.com,,left,mixed,mbfc
columbiadailyherald.com,,right,high,mbfc
commentarymagazine.com,,right,high,mbfc
concernedwomen.org,,,low,mbfc
conservapedia.com,,,low,mbfc
conservative101.com,,,low,mbfc
conservativebase.com,,right,mixed,mbfc
conservativebyte.com,,,low,mbfc
conservativedailynews.com,,right,mixed,mbfc
conservativedailypost.com,,,low,mbfc
conservativefighters.com,,,low,mbfc
conservativefiringline.com,,,low,mbfc
conservativehq.com,,right,mixed,mbfc
conservativemedia.com,,,low,mbfc
conservativeoutfitters.com,,right,mixed,mbfc
conservativepost.com,,,low,mbfc
conservativetoday.com,,right,mixed,mbfc
conservativetribune.com,,,low,mbfc
consmovement.com,,,low,mbfc
consnation.com,,,low,mbfc
consortiumnews.com,,center,high,mbfc
constitution.com,,,low,mbfc
constitutionproject.org,,center,high,mbfc
consumerreports.org,,center,high,mbfc
corporatepresidency.org,,left,high,mbfc
countercurrents.org,,left,high,mbfc
courant.com,,left,high,mbfc
courier-journal.com,,left,high,mbfc
couriermail.com.au,,right,high,mbfc
courthousenews.com,,center,high,mbfc
cowgernation.com,,right,mixed,mbfc
cpj.org,,center,high,mbfc
crfb.org,,center,high,mbfc
crimeresearch.org,,right,mixed,mbfc
crimethinc.com,,left,high,mbfc
crisismagazine.com,,right,mixed,mbfc
crooksandliars.com,,left,mixed,mbfc
crosscut.com,,left,high,mbfc
ctvnews.ca,,left,high,mbfc
cumberlink.com,,center,high,mbfc
currentaffairs.org,,left,high,mbfc
curvemag.com,,left,high,mbfc
dailycaller.com,,right,mixed,mbfc
dailycurrant.com,,center,low,mbfc
dailydems.com,,left,mixed,mbfc
dailyheadlines.net,,,low,mbfc
dailykos.com,,left,mixed,mbfc
dailymail.co.uk,,right,mixed,mbfc
dailynews.com,,right,high,mbfc
dailypresser.com,,,low,mbfc
dailyprogress.com,,center,high,mbfc
dailyrecord.co.uk,,left,mixed,mbfc
dailyrecord.com,,center,high,mbfc
dailysabah.com,,right,mixed,mbfc
dailysignal.com,,right,mixed,mbfc
dailysnark.com,,center,low,mbfc
dailysquib.co.uk,,center,low,mbfc
dailysurge.com,,right,mixed,mbfc
dailytarheel.com,,left,high,mbfc
dailytelegraph.com.au,,right,mixed,mbfc
dailywire.com,,right,mixed,mbfc
dailyworldinformation.com,,,low,mbfc
dailyworldupdate.us,,center,low,mbfc
dandygoat.com,,center,low,mbfc
darientimes.com,,left,high,mbfc
dawn.com,,left,high,mbfc
dcclothesline.com,,,low,mbfc
dcreport.org,,left,high,mbfc
dcstatesman.com,,right,mixed,mbfc
dcwhispers.com,,right,mixed,mbfc
deadspin.com,,left,high,mbfc
deccanherald.com,,left,mixed,mbfc
deepleftfield.info,,left,mixed,mbfc
deepstatenation.com,,left,mixed,mbfc
defconwarningsystem.com,,center,high,mbfc
defendevropa.org,,,low,mbfc
defenseone.com,,center,high,mbfc
defiantamerica.com,,,low,mbfc
defund.com,,,low,mbfc
democracyguardian.com,,left,mixed,mbfc
democracynow.org,,left,high,mbfc
democratherald.com,,center,high,mbfc
democratichub.com,,left,mixed,mbfc
democraticmoms.com,,,low,mbfc
democraticreview.com,,,low,mbfc
democraticunderground.com,,left,mixed,mbfc
demos.org,,left,high,mbfc
denverpost.com,,left,high,mbfc
derfmagazine.com,,center,low,mbfc
desmogblog.com,,left,high,mbfc
desmoinesregister.com,,right,high,mbfc
detroitnews.com,,right,high,mbfc
discovermagazine.com,,center,high,mbfc
dispatch.com,,right,high,mbfc
diversityinc.com,,left,high,mbfc
donaldtrumpnews.co,,,low,mbfc
drudge.com,,left,mixed,mbfc
drudgereport.com,,right,mixed,mbfc
duffelblog.com,,center,low,mbfc
duhprogressive.com,,center,low,mbfc
dutchreview.com,,left,mixed,mbfc
eaglerising.com,,,low,mbfc
eagletribune.com,,center,high,mbfc
earthfirstjournal.org,,left,mixed,mbfc
earthmagazine.org,,center,high,mbfc
eastbaytimes.com,,left,high,mbfc
ebar.com,,left,high,mbfc
economist.com,,center,high,mbfc
economyincrisis.org,,left,mixed,mbfc
eff.org,,left,high,mbfc
egyptianstreets.com,,left,mixed,mbfc
ejinsight.com,,center,high,mbfc
electronicintifada.net,,left,high,mbfc
elitedaily.com,,left,mixed,mbfc
elpais.com,,left,high,mbfc
elpasotimes.com,,left,high,mbfc
emirates247.com,,left,high,mbfc
empirenews.net,,center,low,mbfc
empiresports.co,,center,low,mbfc
en-volve.com,,,low,mbfc
epi.org,,left,high,mbfc
