domain,outlet,bias_outlet,credibility,source
rochdaleherald.co.uk,,center,low,mbfc
rockcitytimes.com,,center,low,mbfc
rollcall.com,,center,high,mbfc
ronpaulinstitute.org,,right,mixed,mbfc
rstreet.org,,right,high,mbfc
rt.com,,right,mixed,mbfc
russia-insider.com,,right,mixed,mbfc
ruthinstitute.org,,,low,mbfc
salon.com,,left,high,mbfc
samuel-warde.com,,left,mixed,mbfc
sandiegofreepress.org,,left,high,mbfc
santamariatimes.com,,center,high,mbfc
saudigazette.com.sa,,left,high,mbfc
sayfiereview.com,,center,high,mbfc
sbgi.net,,right,mixed,mbfc
sbsun.com,,right,high,mbfc
schmedium.org,,center,low,mbfc
sciencedirect.com,,center,high,mbfc
sciencetrends.com,,center,high,mbfc
scientificamerican.com,,center,high,mbfc
scotsman.com,,center,high,mbfc
scotusblog.com,,center,high,mbfc
seattlepi.com,,left,high,mbfc
seattletimes.com,,left,high,mbfc
secondnexus.com,,left,mixed,mbfc
sentinelksmo.org,,right,mixed,mbfc
sfchronicle.com,,left,high,mbfc
sfgate.com,,left,high,mbfc
shareably.net,,center,high,mbfc
shareblue.com,,left,mixed,mbfc
shtfplan.com,,,low,mbfc
silenceisconsent.net,,right,mixed,mbfc
siouxcityjournal.com,,center,high,mbfc
skeptic.com,,center,high,mbfc
skepticink.com,,center,high,mbfc
sky.com,,left,high,mbfc
skyandtelescope.com,,center,high,mbfc
slate.com,,left,high,mbfc
sltrib.com,,left,high,mbfc
smirkingchimp.com,,left,high,mbfc
smithsonianmag.com,,center,high,mbfc
sojo.net,,left,high,mbfc
sonorannews.com,,right,mixed,mbfc
sonsoflibertymedia.com,,,low,mbfc
southafricatoday.net,,right,low,mbfc
space.com,,center,high,mbfc
speakgov.com,,,low,mbfc
spectator.org,,right,high,mbfc
spectrumreport.com,,center,mixed,mbfc
speisa.com,,,low,mbfc
spiegel.de,,left,high,mbfc
spiked-online.com,,right,mixed,mbfc
spin.com,,left,high,mbfc
splinternews.com,,left,mixed,mbfc
sputniknews.com,,right,mixed,mbfc
squawker.org,,,low,mbfc
srnnews.com,,right,high,mbfc
standard.net,,center,high,mbfc
star-telegram.com,,right,high,mbfc
staresattheworld.com,,,low,mbfc
statesmanjournal.com,,right,high,mbfc
steadfastandloyal.com,,,low,mbfc
stepfeed.com,,left,mixed,mbfc
stimson.org,,center,high,mbfc
stocknewsusa.com,,center,high,mbfc
stocksnewsdaily.com,,left,mixed,mbfc
stonecoldtruth.com,,,low,mbfc
stopfake.org,,left,high,mbfc
stpete4peace.org,,left,high,mbfc
strategic-culture.org,,right,high,mbfc
stubhillnews.com,,center,low,mbfc
studionewsnetwork.com,,right,low,mbfc
sun-sentinel.com,,right,high,mbfc
sungazette.com,,right,high,mbfc
suntimes.com,,left,high,mbfc
surenews.com,,,low,mbfc
swedishwire.com,,center,high,mbfc
syriana-analysis.com,,left,mixed,mbfc
taipeitimes.com,,center,high,mbfc
takepart.com,,left,high,mbfc
takimag.com,,,low,mbfc
talkingpointsmemo.com,,left,high,mbfc
tampabay.com,,left,high,mbfc
taxfoundation.org,,right,high,mbfc
taxjustice.net,,left,high,mbfc
taxpayer.com,,right,high,mbfc
tdn.com,,center,high,mbfc
teaparty.org,,,low,mbfc
teapartypatriots.org,,right,high,mbfc
techcrunch.com,,left,high,mbfc
techxplore.com,,center,high,mbfc
teddystick.com,,,low,mbfc
telesurtv.net,,left,mixed,mbfc
tennesseestar.com,,right,high,mbfc
texasmonthly.com,,left,high,mbfc
texasstandard.org,,center,high,mbfc
texastribune.org,,center,high,mbfc
tfp.org,,,low,mbfc
thatsnonsense.com,,center,high,mbfc
the-american-interest.com,,right,high,mbfc
the-daily-news.co.uk,,center,low,mbfc
theamericanconservative.com,,right,high,mbfc
theamericanmirror.com,,,low,mbfc
theatlantic.com,,left,high,mbfc
theaustralian.com.au,,right,high,mbfc
theautomaticearth.com,,left,high,mbfc
thebaffler.com,,left,high,mbfc
thebalance.com,,center,high,mbfc
thebeaverton.com,,center,low,mbfc
theblacksphere.net,,right,mixed,mbfc
theblaze.com,,right,mixed,mbfc
theburningspear.com,,left,high,mbfc
thecanary.co,,left,high,mbfc
thechronicleherald.ca,,right,mixed,mbfc
thecipherbrief.com,,center,high,mbfc
thecitizenpress.com,,right,mixed,mbfc
thedailybeast.com,,left,high,mbfc
thedailyliberator.com,,right,mixed,mbfc
thedailymash.co.uk,,center,low,mbfc
thedailyvox.co.za,,left,high,mbfc
thedcgazette.com,,,low,mbfc
thediplomat.com,,center,high,mbfc
theduran.com,,,low,mbfc
thefederalistpapers.org,,,low,mbfc
thefifthcolumnnews.com,,left,mixed,mbfc
thefiscaltimes.com,,right,high,mbfc
thefloridasqueeze.com,,left,mixed,mbfc
thegatewaypundit.com,,,low,mbfc
thegoldwater.com,,,low,mbfc
theguardian.com,,left,high,mbfc
theguardiansofdemocracy.com,,left,high,mbfc
thehardtimes.net,,center,low,mbfc
thehayride.com,,right,high,mbfc
thehill.com,,left,mixed,mbfc
thehindu.com,,left,high,mbfc
thehornnews.com,,,low,mbfc
theintercept.com,,left,high,mbfc
thejakartapost.com,,center,high,mbfc
theknifemedia.com,,center,high,mbfc
thelapine.ca,,center,low,mbfc
thelibertyeagle.com,,,low,mbfc
thelondoneconomic.com,,left,mixed,mbfc
themaven.net,,left,mixed,mbfc
themilitant.com,,left,high,mbfc
themillenniumreport.com,,,low,mbfc
themoderatevoice.com,,center,high,mbfc
thenationalpatriot.com,,,low,mbfc
thenewamerican.com,,right,mixed,mbfc
thenewatlantis.com,,right,high,mbfc
thenewcivilrightsmovement.com,,left,mixed,mbfc
thenews.com.pk,,center,high,mbfc
thenewslens.com,,right,high,mbfc
thenewsliteracyproject.org,,center,high,mbfc
thenewtropic.com,,left,high,mbfc
theodysseyonline.com,,left,mixed,mbfc
theonion.com,,center,low,mbfc
theoslotimes.com,,left,high,mbfc
theoswatch.com,,left,mixed,mbfc
thepeoplescube.com,,center,low,mbfc
thepeoplestruth.com,,,low,mbfc
thepostemail.com,,right,mixed,mbfc
theproudliberal.org,,,low,mbfc
thepublicdiscourse.com,,,low,mbfc
thequint.com,,right,mixed,mbfc
therantidote.com,,right,mixed,mbfc
therealnews.com,,left,high,mbfc
therebel.media,,right,mixed,mbfc
theredshtick.com,,center,low,mbfc
thereligionofpeace.com,,,low,mbfc
theresurgent.com,,right,mixed,mbfc
therightscoop.com,,right,high,mbfc
therightstuff.biz,,,low,mbfc
thesaturdaypaper.com.au,,left,high,mbfc
thesciencepost.com,,center,low,mbfc
theshovel.com.au,,center,low,mbfc
theskimm.com,,center,high,mbfc
thestar.com,,left,high,mbfc
thesternfacts.com,,left,mixed,mbfc
thesun.co.uk,,right,mixed,mbfc
thetab.com,,left,high,mbfc
thetimesherald.com,,right,high,mbfc
thetruthdivision.com,,,low,mbfc
theunrealtimes.com,,center,low,mbfc
thevarsity.ca,,left,high,mbfc
theverge.com,,left,high,mbfc
thewalrus.ca,,left,high,mbfc
thewashingtonreporter.com,,,low,mbfc
thewashingtonstandard.com,,,low,mbfc
thewest.com.au,,right,high,mbfc
thewhim.com,,center,high,mbfc
thewire.in,,left,high,mbfc
thewrap.com,,center,mixed,mbfc
thinkprogress.org,,left,mixed,mbfc
this.org,,left,high,mbfc
timeline.com,,left,high,mbfc
timescolonist.com,,left,high,mbfc
timesheadline.com,,left,mixed,mbfc
timeslive.co.za,,right,mixed,mbfc
timesofisrael.com,,left,high,mbfc
tmn.today,,,low,mbfc
tnonline.com,,right,high,mbfc
toinformistoinfluence.com,,left,high,mbfc
toprightnews.com,,,low,mbfc
torontosun.com,,right,high,mbfc
towleroad.com,,left,mixed,mbfc
townhall.com,,right,mixed,mbfc
transparency.org,,center,high,mbfc
trib.com,,center,high,mbfc
triblive.com,,right,high,mbfc
tribunemagazine.org,,left,high,mbfc
tribunist.com,,right,mixed,mbfc
triggerreset.net,,,low,mbfc
trofire.com,,left,high,mbfc
trueactivist.com,,,low,mbfc
truebluescoop.com,,,low,mbfc
trueviralnews.com,,center,high,mbfc
trumpservativenews.info,,,low,mbfc
trust.org,,left,high,mbfc
truth-out.org,,left,mixed,mbfc
truthbetold.news,,center,high,mbfc
truthdig.com,,left,high,mbfc
truthexaminer.com,,,low,mbfc
truthinmedia.com,,,low,mbfc
truthrevolt.org,,,low,mbfc
truthuncensored.net,,,low,mbfc
tucson.com,,left,high,mbfc
tvw.org,,center,high,mbfc
twincities.com,,left,high,mbfc
twitchy.com,,right,mixed,mbfc
tytnetwork.com,,left,high,mbfc
uawire.org,,left,mixed,mbfc
ucsd.edu,,center,high,mbfc
unclesamsmisguidedchildren.com,,,low,mbfc
undergroundjournalist.org,,,low,mbfc
unionleader.com,,right,high,mbfc
universitybusiness.com,,left,high,mbfc
unwatch.org,,right,mixed,mbfc
unz.com,,,low,mbfc
upi.com,,center,high,mbfc
upr.org,,left,high,mbfc
uproxx.com,,left,high,mbfc
us.org,,left,mixed,mbfc
usaconservativereport.com,,,low,mbfc
usadosenews.com,,,low,mbfc
usafirstinformation.com,,,low,mbfc
usainfront.com,,,low,mbfc
usasupreme.com,,,low,mbfc
usatoday.com,,center,high,mbfc
valleynewslive.com,,right,high,mbfc
vancouversun.com,,left,high,mbfc
vdare.com,,,low,mbfc
verafiles.org,,center,high,mbfc
vermontindependent.org,,left,mixed,mbfc
verywell.com,,center,high,mbfc
vice.com,,left,mixed,mbfc
vidmax.com,,,low,mbfc
villagevoice.com,,left,high,mbfc
viralcords.com,,center,low,mbfc
viraldevil.com,,center,low,mbfc
viralliberty.com,,,low,mbfc
viralthread.com,,center,mixed,mbfc
viraltitle.com,,left,mixed,mbfc
vivaliberty.com,,right,mixed,mbfc
voanews.com,,center,high,mbfc
voiceofeurope.com,,,low,mbfc
votesmart.org,,center,high,mbfc
votevets.org,,left,high,mbfc
vox.com,,left,high,mbfc
washingtonblade.com,,left,high,mbfc
washingtonexaminer.com,,right,high,mbfc
washingtonmonthly.com,,left,high,mbfc
washingtonpress.com,,left,mixed,mbfc
washingtontimes.com,,right,high,mbfc
watchdog.org,,right,mixed,mbfc
waterfordwhispersnews.com,,center,low,mbfc
weaselzippers.us,,right,mixed,mbfc
webmd.com,,center,high,mbfc
weeklystandard.com,,right,high,mbfc
weforum.org,,center,high,mbfc
westernjournalism.com,,right,mixed,mbfc
westmonster.com,,right,high,mbfc
wgntv.com,,left,high,mbfc
who.int,,center,high,mbfc
whowhatwhy.org,,left,mixed,mbfc
wikitribune.com,,center,high,mbfc
winonadailynews.com,,center,high,mbfc
wionews.com,,center,mixed,mbfc
wn.com,,center,high,mbfc
wnd.com,,right,mixed,mbfc
wng.org,,right,mixed,mbfc
wonkette.com,,left,mixed,mbfc
wordpress.com,,center,low,mbfc
workers.org,,left,mixed,mbfc
worldaffairsjournal.org,,left,high,mbfc
worldnewsdailyreport.com,,center,low,mbfc
worldpress.org,,center,high,mbfc
wral.com,,center,high,mbfc
wsj.com,,right,high,mbfc
wsws.org,,left,high,mbfc
yahoo.com,,left,mixed,mbfc
yellowhammernews.com,,right,high,mbfc
yesimright.com,,,low,mbfc
yesmagazine.org,,left,high,mbfc
yiannopoulos.net,,,low,mbfc
youngcons.com,,right,mixed,mbfc
youthradio.org,,left,high,mbfc
zcomm.org,,left,high,mbfc
zeit.de,,left,high,mbfc
